ocn1	eco	seq
D.QGD	D52	22
D.QGD	D53	23
D.QGD	D54	24
D.QGD	D55	25
D.QGD	D56	26
D.QGD	D57	27
D.QGD	D58	28
D.QGD	D59	29
D.QGD	D60	30
D.QGD	D61	31
D.QGD	D62	32
D.QGD	D63	33
D.QGD	D64	34
D.QGD	D65	35
D.QGD	D66	36
D.QGD	D67	37
D.QGD	D68	38
D.QGD	D69	39
D.QGD.Ort	D60	0
D.QGD.Ort	D61	1
D.QGD.Ort	D62	2
D.QGD.Ort	D63	3
D.QGD.Ort	D64	4
D.QGD.Ort	D65	5
D.QGD.Ort	D66	6
D.QGD.Ort	D67	7
D.QGD.Ort	D68	8
D.QGD.Ort	D69	9
D.QGD.Tar	D58	0
D.QGD.Tar	D59	1
D.QGD.Lsk	D55	0
D.QGD.Lsk	D56	1
D.QGD.Lsk	D57	2
D.QGD.Cmb	D52	0
D.QGD.Exc	D35	0
D.QGD.Exc	D36	1
D.QGA	D20	0
D.QGA	D21	1
D.QGA	D22	2
D.QGA	D23	3
D.QGA	D24	4
D.QGA	D25	5
D.QGA	D26	6
D.QGA	D27	7
D.QGA	D28	8
D.QGA	D29	9
D.Sla	D10	0
D.Sla	D11	1
D.Sla	D12	2
D.Sla	D13	3
D.Sla	D14	4
D.Sla	D15	5
D.Sla	D16	6
D.Sla	D17	7
D.Sla	D18	8
D.Sla	D19	9
D.Sem	D43	0
D.Sem	D44	1
D.Sem	D45	2
D.Sem	D46	3
D.Sem	D47	4
D.Sem	D48	5
D.Sem	D49	6
D.Sem.Mer	D47	0
D.Sem.Mer	D48	1
D.Sem.Mer	D49	2
D.Sem.Bg5	D43	0
D.Sem.Bg5	D44	1
D.Sem.Bg5.Mos	D43	0
D.Sem.Bg5.AMo	D43	0
D.Sem.Bg5.AMo	D44	1
D.Sem.Bg5.Bot	D44	0
D.Sla.Exc	D10	0
D.Sla.Exc	D13	1
D.Sla.Cls	D17	0
D.Sla.Cls	D18	1
D.Sla.Cls	D19	2
D.Cat	E00	0
D.Cat	E01	1
D.Cat	E02	2
D.Cat	E03	3
D.Cat	E04	4
D.Cat	E05	5
D.Cat	E06	6
D.Cat	E07	7
D.Cat	E08	8
D.Cat	E09	9
D.Cat.Ope	E04	0
D.Cat.Ope	E05	1
D.Cat.Cls	E06	0
D.Cat.Cls	E07	1
D.Cat.Cls	E08	2
D.Cat.Cls	E09	3
D.Tar	D32	0
D.Tar	D33	1
D.Tar	D34	2
D.STa	D40	0
D.STa	D41	1
D.STa	D42	2
D.QGD.Vie	D37	0
D.QGD.Vie	D38	1
D.QGD.Vie	D39	2
D.QGD.Rag	D38	0
D.QGD.Rag	D39	1
D.Alb	D08	0
D.Alb	D09	1
D.Bgm	D00	0
E.KID	E60	0
E.KID	E61	1
E.KID	E62	2
E.KID	E63	3
E.KID	E64	4
E.KID	E65	5
E.KID	E66	6
E.KID	E67	7
E.KID	E68	8
E.KID	E69	9
E.KID	E70	10
E.KID	E71	11
E.KID	E72	12
E.KID	E73	13
E.KID	E74	14
E.KID	E75	15
E.KID	E76	16
E.KID	E77	17
E.KID	E78	18
E.KID	E79	19
E.KID	E80	20
E.KID	E81	21
E.KID	E82	22
E.KID	E83	23
E.KID	E84	24
E.KID	E85	25
E.KID	E86	26
E.KID	E87	27
E.KID	E88	28
E.KID	E89	29
E.KID	E90	30
E.KID	E91	31
E.KID	E92	32
E.KID	E93	33
E.KID	E94	34
E.KID	E95	35
E.KID	E96	36
E.KID	E97	37
E.KID	E98	38
E.KID	E99	39
E.KID.Sml	E80	0
E.KID.Sml	E81	1
E.KID.Sml	E82	2
E.KID.Sml	E83	3
E.KID.Sml	E84	4
E.KID.Sml	E85	5
E.KID.Sml	E86	6
E.KID.Sml	E87	7
E.KID.Sml	E88	8
E.KID.Sml	E89	9
E.KID.Cls	E91	0
E.KID.Cls	E92	1
E.KID.Cls	E93	2
E.KID.Cls	E94	3
E.KID.Cls	E95	4
E.KID.Cls	E96	5
E.KID.Cls	E97	6
E.KID.Cls	E98	7
E.KID.Cls	E99	8
E.KID.Cls.Mar	E97	0
E.KID.Fch	E60	0
E.KID.Fch	E61	1
E.KID.Fch	E62	2
E.KID.Fch	E63	3
E.KID.Fch	E64	4
E.KID.Fch	E65	5
E.KID.Fch	E66	6
E.KID.Fch	E67	7
E.KID.Fch	E68	8
E.KID.Fch	E69	9
E.KID.Avk	E73	0
E.KID.Fou	E76	0
E.KID.Fou	E77	1
E.KID.Fou	E78	2
E.KID.Fou	E79	3
E.Nim	E20	0
E.Nim	E21	1
E.Nim	E22	2
E.Nim	E23	3
E.Nim	E24	4
E.Nim	E25	5
E.Nim	E26	6
E.Nim	E27	7
E.Nim	E28	8
E.Nim	E29	9
E.Nim	E30	10
E.Nim	E31	11
E.Nim	E32	12
E.Nim	E33	13
E.Nim	E34	14
E.Nim	E35	15
E.Nim	E36	16
E.Nim	E37	17
E.Nim	E38	18
E.Nim	E39	19
E.Nim	E40	20
E.Nim	E41	21
E.Nim	E42	22
E.Nim	E43	23
E.Nim	E44	24
E.Nim	E45	25
E.Nim	E46	26
E.Nim	E47	27
E.Nim	E48	28
E.Nim	E49	29
E.Nim	E50	30
E.Nim	E51	31
E.Nim	E52	32
E.Nim	E53	33
E.Nim	E54	34
E.Nim	E55	35
E.Nim	E56	36
E.Nim	E57	37
E.Nim	E58	38
E.Nim	E59	39
E.Nim.Rub	E40	0
E.Nim.Rub	E41	1
E.Nim.Rub	E42	2
E.Nim.Rub	E43	3
E.Nim.Rub	E44	4
E.Nim.Rub	E45	5
E.Nim.Rub	E46	6
E.Nim.Rub	E47	7
E.Nim.Rub	E48	8
E.Nim.Rub	E49	9
E.Nim.Rub	E50	10
E.Nim.Rub	E51	11
E.Nim.Rub	E52	12
E.Nim.Rub	E53	13
E.Nim.Rub	E54	14
E.Nim.Rub	E55	15
E.Nim.Rub	E56	16
