ocn1	match_kind	matched_plies	total_plies	lichess_eco	lichess_name
D.Cat.Cls.Kor.MLn	prefix	4	16	D30	Queen's Gambit Declined
D.QPG.Zuk.Col.MLn	prefix	7	10	D05	Queen's Pawn Game: Colle System
D.Bgm.Acc.Ryd.MLn.Be3	prefix	9	11	D00	Blackmar-Diemer Gambit Accepted: Ryder Gambit
E.Bog.Nim.MLn.Be2	prefix	8	13	E11	Bogo-Indian Defense: Nimzowitsch Variation
E.Bud.Adl.MLn.e3	prefix	7	13	A52	Indian Defense: Budapest Defense, Adler Variation
E.OldI.Cls.MLn.Re1	prefix	7	14	A54	Old Indian Defense: Two Knights Variation
E.Blf.Dec.MLn.e3	prefix	9	11	E10	Blumenfeld Countergambit: Duz-Khotimirsky Variation
E.Nim.Rub.Tai.MLn.Qc2	prefix	8	15	E40	Nimzo-Indian Defense: Rubinstein System, Taimanov Variation
E.QID.Pet.Kas.MLn.e4	prefix	7	15	E12	Queen's Indian Defense: Petrosian Variation
E.KID.Mak.MLn.Be2	prefix	9	13	E71	King's Indian Defense: Makogonov Variation
E.Gru.Brn.MLn.Be2	prefix	10	13	D83	Grünfeld Defense: Brinckmann Attack, Grünfeld Gambit
E.Nim.Rom.MLn.Nf3	prefix	7	11	E20	Nimzo-Indian Defense: Romanishin Variation
E.Ind.Tgo.MLn.Nc3	prefix	4	7	A50	Mexican Defense
A.Owe.Fch.MLn	prefix	2	8	A40	English Defense
A.VtK.FrD.MLn	prefix	1	7	A00	Van't Kruijs Opening
A.VtK.Sic.MLn	prefix	1	7	A00	Van't Kruijs Opening
A.Hor.Ker.MLn	prefix	2	8	A40	Horwitz Defense
A.Hor.Fch.MLn	prefix	2	6	A40	Horwitz Defense
A.And.Pol.MLn	prefix	3	5	A00	Anderssen's Opening: Polish Gambit
A.Clm.Spk.MLn	prefix	3	5	A00	Clemenz Opening: Spike Lee Gambit
A.Egl.Har.MLn	prefix	6	8	A40	Englund Gambit: Main Line
A.OID.Mod.MLn	prefix	3	7	A41	Old Indian Defense
A.Ret.KIA.MLn.e4	prefix	3	13	A07	King's Indian Attack
B.Nim.Ken.MLn	prefix	5	6	B00	Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation
B.Nim.ScD.MLn	prefix	5	6	B00	Nimzowitsch Defense: Scandinavian Variation, Advance Variation
B.Nim.Col.MLn	prefix	5	6	B00	Nimzowitsch Defense: Colorado Countergambit Accepted
B.Mod.Tig.MLn	prefix	7	10	B06	Modern Defense: Pseudo-Austrian Attack
B.Mod.Pte.MLn	prefix	4	10	B06	Modern Defense
B.OwM.Mat.MLn	prefix	2	8	B00	Owen Defense
B.OwM.Eng.MLn	prefix	2	8	B00	Owen Defense
B.Sca.Mod.Mie.MLn	prefix	8	10	B01	Scandinavian Defense: Main Line, Mieses Variation
B.Ale.Mod.KID.MLn	prefix	8	11	B04	Alekhine Defense: Modern Variation, Alburt Variation
B.Pir.150.Arg.MLn	prefix	9	10	B07	Pirc Defense: 150 Attack
C.KPO.Kgt.MLn	exact	4	4	C44	King's Knight Opening: Normal Variation
C.KPO.Nap.MLn	prefix	3	5	C20	King's Pawn Game: Napoleon Attack
C.KPO.Prt.MLn	prefix	3	5	C20	Portuguese Opening
C.Fou.Glk.MLn	prefix	7	8	C47	Four Knights Game: Glek System
C.Fou.Sco.Bel.MLn	prefix	9	10	C47	Four Knights Game: Scotch Variation, Belgrade Gambit
C.Fou.Spa.Rub.MLn	prefix	8	9	C48	Four Knights Game: Spanish Variation, Rubinstein Variation
C.Sco.Gor.Nc3.MLn	exact	10	10	C44	Scotch Game: Göring Gambit, Main Line
C.Sco.Gbt.Max.MLn	prefix	8	10	C44	Scotch Game: Haxo Gambit
C.KGm.Dec.Cls.MLn	prefix	7	8	C30	King's Gambit Declined: Classical Variation
C.KGm.Acc.Muz.Dbl.MLn	prefix	9	11	C37	King's Gambit Accepted: Muzio Gambit, Wild Muzio Gambit
D.Chi.MLn.e3	prefix	6	7	D07	Queen's Gambit Declined: Chigorin Defense, Main Line
D.Chi.Exc.MLn	prefix	6	8	D07	Queen's Gambit Declined: Chigorin Defense, Exchange Variation
D.Tar.Cls.MLn	prefix	16	17	D34	Tarrasch Defense: Classical Variation
D.Tar.Prg.MLn	prefix	12	14	D33	Tarrasch Defense: Prague Variation
D.STa.Exc.MLn	prefix	6	11	D35	Queen's Gambit Declined: Normal Defense
D.STa.Pil.MLn	prefix	9	10	D40	Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation
D.QGA.Old.MLn	prefix	5	8	D20	Queen's Gambit Accepted: Old Variation
D.QGA.Ale.MLn	prefix	6	10	D20	Queen's Gambit Accepted: Central Variation, Alekhine System
D.Cat.Ope.Qa4.MLn	prefix	4	11	D30	Queen's Gambit Declined
D.Bgm.Dec.Lam.MLn.Qd2	prefix	8	11	D00	Blackmar-Diemer Gambit Declined: Lamb Defense
E.KID.Cls.Mar.MLn.Nd3	prefix	17	19	E98	King's Indian Defense: Orthodox Variation, Classical System
E.KID.Cls.Pet.MLn.c5	prefix	14	15	E92	King's Indian Defense: Petrosian Variation, Stein Defense
E.KID.Fch.Pan.MLn.b3	prefix	5	17	E61	King's Indian Defense
E.KID.Fou.MLn.Cap	prefix	13	15	E76	King's Indian Defense: Four Pawns Attack, Dynamic Attack
E.Gru.Exc.Cla.MLn	prefix	14	15	D85	Grünfeld Defense: Exchange Variation, Modern Exchange Variation
E.Gru.Rus.Hng.Be2	prefix	14	15	D97	Grünfeld Defense: Russian Variation, Hungarian Variation
E.QID.Mod.Fch.MLn	exact	13	13	E18	Queen's Indian Defense: Classical Variation, Traditional Variation
E.QID.Nim.Tim.MLn	prefix	9	10	E15	Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Timman's Line
E.Bog.Ret.Fch.MLn	prefix	8	11	E11	Bogo-Indian Defense: Retreat Variation
E.Ind.QID.MLn.e3	prefix	4	7	A50	Queen's Indian Accelerated
A.Ama.Par.MLn.Nf6	prefix	5	8	A00	Amar Opening: Paris Gambit
A.Sod.Dur.MLn.Nc6	prefix	1	6	A00	Sodium Attack
A.Owe.Fch.MLn.Ne2	prefix	2	9	A40	English Defense
A.VtK.FrD.MLn.Bd6	prefix	1	8	A00	Van't Kruijs Opening
A.VtK.Sic.MLn.Nf6	prefix	1	8	A00	Van't Kruijs Opening
A.Hor.Ker.MLn.a3	prefix	2	9	A40	Horwitz Defense
A.Hor.Fch.MLn.Nf3	prefix	2	7	A40	Horwitz Defense
A.And.Pol.MLn.e5	prefix	3	6	A00	Anderssen's Opening: Polish Gambit
A.Clm.Spk.MLn.d5	prefix	3	6	A00	Clemenz Opening: Spike Lee Gambit
A.Ret.KIA.MLn.e4.c5	prefix	3	15	A07	King's Indian Attack
B.Nim.Ken.MLn.Nf3	prefix	5	7	B00	Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation
B.Nim.ScD.MLn.Nf3	prefix	5	7	B00	Nimzowitsch Defense: Scandinavian Variation, Advance Variation
B.Nim.Col.MLn.d4	prefix	5	7	B00	Nimzowitsch Defense: Colorado Countergambit Accepted
B.Mod.Tig.MLn.e5	prefix	7	11	B06	Modern Defense: Pseudo-Austrian Attack
B.Mod.Pte.MLn.Bc3	prefix	4	11	B06	Modern Defense
B.OwM.Mat.MLn.c3	prefix	2	9	B00	Owen Defense
B.OwM.Eng.MLn.Bd3	prefix	2	9	B00	Owen Defense
B.Sca.Mod.Mie.MLn.Bc4	prefix	8	11	B01	Scandinavian Defense: Main Line, Mieses Variation
B.Ale.Mod.KID.MLn.cxd6	prefix	8	12	B04	Alekhine Defense: Modern Variation, Alburt Variation
B.Pir.150.Arg.MLn.Lng	prefix	9	11	B07	Pirc Defense: 150 Attack
C.KPO.Kgt.MLn.a3	prefix	4	5	C44	King's Knight Opening: Normal Variation
C.KPO.Nap.MLn.Nf6	prefix	3	6	C20	King's Pawn Game: Napoleon Attack
C.KPO.Prt.MLn.c6	prefix	3	6	C20	Portuguese Opening
C.Fou.Glk.MLn.Bg2	prefix	7	9	C47	Four Knights Game: Glek System
C.Fou.Sco.Bel.MLn.Nxd4	prefix	9	11	C47	Four Knights Game: Scotch Variation, Belgrade Gambit
C.Fou.Spa.Rub.MLn.b5	prefix	8	10	C48	Four Knights Game: Spanish Variation, Rubinstein Variation
C.Sco.Gor.Nc3.MLn.Bd3	prefix	10	11	C44	Scotch Game: Göring Gambit, Main Line
C.Sco.Gbt.Max.MLn.c3	prefix	8	11	C44	Scotch Game: Haxo Gambit
C.KGm.Dec.Cls.MLn.d4	prefix	7	9	C30	King's Gambit Declined: Classical Variation
C.KGm.Acc.Muz.Dbl.MLn.Nf6	prefix	9	12	C37	King's Gambit Accepted: Muzio Gambit, Wild Muzio Gambit
D.Chi.MLn.e3.Nf6	prefix	6	8	D07	Queen's Gambit Declined: Chigorin Defense, Main Line
D.Chi.Exc.MLn.e3	prefix	6	9	D07	Queen's Gambit Declined: Chigorin Defense, Exchange Variation
D.Tar.Cls.MLn.Re8	prefix	16	18	D34	Tarrasch Defense: Classical Variation
D.Tar.Prg.MLn.Nxd4	prefix	12	15	D33	Tarrasch Defense: Prague Variation
D.STa.Exc.MLn.Nxc3	prefix	6	12	D35	Queen's Gambit Declined: Normal Defense
D.STa.Pil.MLn.Nxd4	prefix	9	11	D40	Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation
D.QGA.Old.MLn.exd4	prefix	5	9	D20	Queen's Gambit Accepted: Old Variation
D.QGA.Ale.MLn.Bb3	prefix	6	11	D20	Queen's Gambit Accepted: Central Variation, Alekhine System
D.Cat.Ope.Qa4.MLn.c5	prefix	4	12	D30	Queen's Gambit Declined
D.Bgm.Dec.Lam.MLn.Qd2.e6	prefix	8	12	D00	Blackmar-Diemer Gambit Declined: Lamb Defense
E.QID.Nim.Tim.MLn.Nc3	prefix	9	11	E15	Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Timman's Line
E.Bog.Ret.Fch.MLn.O-O	prefix	8	13	E11	Bogo-Indian Defense: Retreat Variation
E.Ind.QID.MLn.e3.Be7	prefix	4	10	A50	Queen's Indian Accelerated
E.KID.Cls.Mar.MLn.Nd3.f5	prefix	17	20	E98	King's Indian Defense: Orthodox Variation, Classical System
E.KID.Cls.Pet.MLn.c5.Na6	prefix	14	16	E92	King's Indian Defense: Petrosian Variation, Stein Defense
E.KID.Fch.Pan.MLn.b3.Bd7	prefix	5	18	E61	King's Indian Defense
E.KID.Fou.MLn.Cap.fxe6	prefix	13	16	E76	King's Indian Defense: Four Pawns Attack, Dynamic Attack
E.Gru.Exc.Cla.MLn.O-O	prefix	14	16	D85	Grünfeld Defense: Exchange Variation, Modern Exchange Variation
E.Gru.Rus.Hng.Be2.Nc6	prefix	14	16	D97	Grünfeld Defense: Russian Variation, Hungarian Variation
E.QID.Mod.Fch.MLn.d5	exact	14	14	E18	Queen's Indian Defense: Classical Variation, Traditional Variation, Nimzowitsch Line
A.Ama.Par.MLn.Nf6.d4.Nc6	prefix	5	10	A00	Amar Opening: Paris Gambit
A.Sod.Dur.MLn.Nc6.g3.Nf6	prefix	1	8	A00	Sodium Attack
A.Owe.Fch.MLn.Ne2.a6.Bd3	prefix	2	13	A40	English Defense
A.VtK.FrD.MLn.Bd6.Bd3.Nf6	prefix	1	10	A00	Van't Kruijs Opening
A.VtK.Sic.MLn.Nf6.Bg5.Be7	prefix	1	12	A00	Van't Kruijs Opening
A.Hor.Ker.MLn.a3.Bd6.e3	prefix	2	11	A40	Horwitz Defense
A.Hor.Fch.MLn.Nf3.Be7.e3	prefix	2	9	A40	Horwitz Defense
A.And.Pol.MLn.e5.Bb2.Nf6	prefix	3	8	A00	Anderssen's Opening: Polish Gambit
A.Clm.Spk.MLn.d5.Bg2.Nf6	prefix	3	8	A00	Clemenz Opening: Spike Lee Gambit
A.Ret.KIA.MLn.e4.c5.b6	prefix	3	16	A07	King's Indian Attack
B.Nim.Ken.MLn.Nf3.d6.Nc3	prefix	5	9	B00	Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation
B.Nim.ScD.MLn.Nf3.e6.Be2	prefix	5	9	B00	Nimzowitsch Defense: Scandinavian Variation, Advance Variation
B.Nim.Col.MLn.d4.Bxf5.Bd3	prefix	5	9	B00	Nimzowitsch Defense: Colorado Countergambit Accepted
B.Mod.Tig.MLn.e5.Nd7.Bd3	prefix	7	13	B06	Modern Defense: Pseudo-Austrian Attack
B.Mod.Pte.MLn.Bc3.cxd4.Nxd4	prefix	4	13	B06	Modern Defense
B.OwM.Mat.MLn.c3.Nf6.Bg5	prefix	2	11	B00	Owen Defense
B.OwM.Eng.MLn.Bd3.Nf6.O-O	prefix	2	11	B00	Owen Defense
B.Sca.Mod.Mie.MLn.Bc4.e6	prefix	8	12	B01	Scandinavian Defense: Main Line, Mieses Variation
B.Ale.Mod.KID.MLn.cxd6.Be2	prefix	8	13	B04	Alekhine Defense: Modern Variation, Alburt Variation
B.Pir.150.Arg.MLn.Lng.Nbd7	prefix	9	12	B07	Pirc Defense: 150 Attack
C.KPO.Nap.MLn.Nf6.Nc3.Bc5	prefix	3	8	C20	King's Pawn Game: Napoleon Attack
C.KPO.Prt.MLn.c6.Ba4.d6	prefix	3	8	C20	Portuguese Opening
C.Fou.Glk.MLn.Bg2.dxe4.Nxe4	prefix	7	11	C47	Four Knights Game: Glek System
C.Fou.Sco.Bel.MLn.Nxd4.d6	prefix	9	12	C47	Four Knights Game: Scotch Variation, Belgrade Gambit
C.Fou.Spa.Rub.MLn.b5.Nxb5	prefix	8	11	C48	Four Knights Game: Spanish Variation, Rubinstein Variation
C.Sco.Gor.Nc3.MLn.Bd3.d6	prefix	10	12	C44	Scotch Game: Göring Gambit, Main Line
C.Sco.Gbt.Max.MLn.c3.dxc3	prefix	8	12	C44	Scotch Game: Haxo Gambit
C.KGm.Dec.Cls.MLn.d4.Bb6	prefix	7	10	C30	King's Gambit Declined: Classical Variation
C.KGm.Acc.Muz.Coc.exd5.Nf6	prefix	10	12	C37	King's Gambit Accepted: Muzio Gambit, Brentano Defense
