ocn1	canonical_name	name_basis	basis_rule
B.Fre.FKn	French, Fort Knox	review	review
B.Pir.Byr	Pirc, Byrne Variation	review	review
B.Pir.150	Pirc, 150 Attack	review	review
C.RyL.Coz	Ruy López, Cozio Defence	review	review
C.RyL.Shl	Ruy López, Schliemann Defence	review	review
C.RyL.Mor	Ruy López, Morphy Defence	review	review
C.RyL.Mor.Opn	Ruy López Morphy, Open	review	review
C.RyL.Mor.StD	Ruy López Morphy, Modern Steinitz	review	review
C.RyL.Mor.Ark	Ruy López Morphy, Arkhangelsk	review	review
C.RyL.Mor.NeA	Ruy López Morphy, Neo-Arkhangelsk	review	review
C.RyL.Mor.Nor	Ruy López Morphy, Norwegian	review	review
C.RyL.Mor.Wor	Ruy López Morphy, Wormald Attack	review	review
C.Ita.Giu.Cls	Italian Giuoco Piano, Classical	review	review
C.Ita.Giu.Mol	Italian Giuoco Piano, Møller Attack	review	review
C.Ita.Two.Opn	Italian Two Knights, Open Variation	review	review
C.Ita.Two.Max	Italian Two Knights, Max Lange Attack	review	review
C.Ita.Two.Ng5.Feg	Two Knights, Fried Liver Attack	review	review
C.Ita.Two.Ng5.Ulv	Two Knights, Ulvestad Variation	review	review
C.Ita.Two.Ng5.Pol	Two Knights, Polerio Defence	review	review
C.Sco.Gor	Scotch, Göring Gambit	review	review
C.Sco.Cls	Scotch, Classical	review	review
C.Vie.Mie	Vienna, Mieses Variation	review	review
C.Vie.Fal	Vienna, Falkbeer Variation	review	review
C.Pet.Cls	Petrov, Classical	review	review
C.Pet.Stf	Petrov, Stafford Gambit	review	review
C.PhD.Lio	Philidor, Lion Variation	review	review
D.QGA.Jan	QGA, Janowski-Larsen	review	review
D.QGA.Man	QGA, Mannheim	review	review
D.Sla.Not	Slav, Noteboom	review	review
D.Sla.Ala	Slav, Alapin	review	review
D.Tar.Rub	Tarrasch, Rubinstein System	review	review
D.STa.Exc	Semi-Tarrasch, Exchange	review	review
D.Cat.Ope.Qa4	Catalan Open, Qa4+	review	review
D.Cat.Cls.Qc2	Catalan Closed, Qc2 Main Line	review	review
E.KID.Fch.Pan	KID Fianchetto, Panno	review	review
E.KID.Sml.Pan	KID Sämisch, Panno	review	review
E.KID.Cls.Glg	KID Classical, Gligoric	review	review
E.KID.Cls.Exc	KID Classical, Exchange	review	review
E.Nim.Kas	Nimzo, Kasparov Variation	review	review
E.Nim.Fou	Nimzo, 4.f3	review	review
E.QID.Nim	QID, Nimzowitsch Variation	review	review
E.QID.Fch	QID, Fianchetto Prefix	review	review
E.Gru.Exc.Cla	Grünfeld Exchange, Classical	review	review
E.Gru.Exc.Sev	Grünfeld Exchange, Seville	review	review
A.Eng.Sym.Hdg	English Symmetrical, Hedgehog	review	review
A.Eng.Rev.Bot	English Reversed Sicilian, Botvinnik System	review	review
A.Eng.Mik	English Opening, Mikėnas-Carls	person	attributed_to
A.Ret.Ang	Réti Opening, Anglo-Slav	review	review
A.Ret.QGI	Réti Opening, Queen's Gambit Invitation	review	review
A.Hol.Fch	Dutch Defence, Fianchetto Attack	review	review
A.Hol.Sta	Dutch Defence, Staunton Gambit	person	attributed_to
A.Hol.Sto.Bot	Dutch Stonewall, Botvinnik Variation	review	review
A.Hol.Cls.IZh	Dutch Classical, Ilyin-Zhenevsky	review	review
E.Ben.Old	Old Benoni	review	review
E.Ben.Mod.Fch	Modern Benoni, Fianchetto	review	review
E.Ben.Mod.Fou	Modern Benoni, Four Pawns Attack	review	review
E.Ben.Mod.Cls	Modern Benoni, Classical	review	review
D.Chi	Chigorin Defence	person	attributed_to
D.QGA.Cen	QGA, Central Variation	review	review
D.Sla.Sml	Slav, Smyslov	review	review
D.Sem.AMe.Shr	Semi-Slav Anti-Meran, Shirov-Shabalov	review	review
D.Cat.Ope.Qa4.Ale	Catalan Open Qa4, Alekhine	review	review
D.Cat.Cls.Bot	Catalan Closed, Botvinnik	review	review
D.Cat.Cls.Rab	Catalan Closed, Rabinovich	review	review
D.QGD.Alt	QGD, Alatortsev	review	review
E.Bog.Exc	Bogo-Indian, Exchange	review	review
E.Bog.Ret	Bogo-Indian, Retreat	review	review
E.Bog.Hai	Bogo-Indian, Haiti	review	review
E.QID.Kas	QID, Kasparov Variation	review	review
E.QID.Sps	QID, Spassky System	review	review
E.QID.Mod.Trd	QID Modern, Traditional Line	review	review
E.Nim.Rom	Nimzo, Romanishin	review	review
E.Nim.Spl	Nimzo, Spielmann	review	review
E.Nim.Mik	Nimzo, Mikėnas Attack	review	review
E.Nim.Cls.Ker	Nimzo Classical, Keres Defence	review	review
E.Nim.Sml.Bot	Nimzo Sämisch, Botvinnik	review	review
E.Gru.Thr	Grünfeld, Three Knights	review	review
E.Gru.Hng	Grünfeld, Hungarian Attack	review	review
E.Gru.Exc.Sps	Grünfeld Exchange, Spassky	review	review
E.KID.Fch.Yug	KID Fianchetto, Yugoslav	review	review
E.KID.Fch.Uhl	KID Fianchetto, Uhlmann-Szabo	review	review
E.KID.Sml.Byr	KID Sämisch, Byrne Defence	review	review
E.KID.Sml.Ort	KID Sämisch, Orthodox	review	review
E.KID.Fou.Dyn	KID Four Pawns, Dynamic Attack	review	review
E.KID.Avk.Ben	KID Averbakh, Benoni Defence	review	review
A.Ret.Lis	Réti Opening, Lisitsyn Gambit	person	attributed_to
A.Hol.Hop	Dutch Defence, Hopton Attack	review	review
E.QID.Mil	QID, Miles Variation	person	attributed_to
B.Sic.Acc	Sicilian, Accelerated Dragon	review	review
B.Sic.Acc.Mar	Accelerated Dragon, Maróczy Bind	person	attributed_to
B.Sic.HAc	Sicilian, Hyper-Accelerated Dragon	review	review
B.Sic.Kal	Sicilian Kalashnikov	review	review
B.Sic.Loe	Sicilian, Löwenthal	review	review
B.Sic.OKe	Sicilian, O'Kelly	review	review
B.Sic.Nim	Sicilian, Nimzowitsch Variation	review	review
B.Sic.Pin	Sicilian, Pin Variation	review	review
B.Sic.Dra.Cls	Sicilian Dragon, Classical	review	review
B.Sic.Dra.Lev	Sicilian Dragon, Levenfish	review	review
B.Sic.Sch.Eng	Sicilian Scheveningen, English Attack	review	review
B.Sic.Tay.Eng	Sicilian Taimanov, English Attack	review	review
B.Sic.Kan.Mar	Sicilian Kan, Maróczy Bind	person	attributed_to
B.Fre.Adv.Mil	French Advance, Milner-Barry	review	review
B.Fre.Win.Psn	French Winawer, Poisoned Pawn	review	review
B.Fre.Tar.Ope	French Tarrasch, Open	review	review
B.Fre.Tar.Cls	French Tarrasch, Closed	review	review
B.CaK.Adv.Sht	Caro-Kann Advance, Short	review	review
B.CaK.Adv.Tal	Caro-Kann Advance, Tal	review	review
B.CaK.Tar	Caro-Kann, Tartakower	review	review
B.CaK.Gur	Caro-Kann, Gurgenidze	review	review
B.Ale.Mod	Alekhine, Modern	review	review
B.Ale.Chs	Alekhine, Chase	review	review
B.Ale.Bal	Alekhine, Balogh	review	review
B.Pir.Cze	Pirc, Czech Defence	review	review
B.Mod.Tig	Modern Defence, Tiger's Modern	review	review
B.Mod.Pte	Modern Defence, Pterodactyl	review	review
C.RyL.Ber.Rio	Ruy López Berlin, Rio de Janeiro	review	review
C.RyL.Exc.Alk	Ruy López Exchange, Alekhine	review	review
C.RyL.Mor.Opn.Dil	Ruy López Open, Dilworth	review	review
C.RyL.Mor.Opn.Hwl	Ruy López Open, Howell Attack	review	review
C.RyL.Mor.Opn.Rig	Ruy López Open, Riga	review	review
C.RyL.Mor.StD.Sie	Ruy López Modern Steinitz, Siesta	review	review
C.RyL.Mor.ClD	Ruy López Morphy, Classical Deferred	review	review
C.RyL.Mor.Fch	Ruy López Morphy, Fianchetto Deferred	review	review
C.RyL.Mor.Car	Ruy López Morphy, Caro Variation	review	review
C.Ita.Giu.Grc	Italian Giuoco Piano, Greco Gambit	review	review
C.Ita.Two.Ng5.Frt	Two Knights, Fritz Variation	review	review
C.Ita.Two.Ng5.Lol	Two Knights, Lolli Attack	review	review
C.KGm.Acc.Kie	King's Gambit Accepted, Kieseritzky	review	review
C.KGm.Acc.Muz	King's Gambit Accepted, Muzio	review	review
C.KGm.Acc.Bsh	King's Gambit Accepted, Bishop's Gambit	review	review
C.KGm.Acc.All	King's Gambit Accepted, Allgaier	person	attributed_to
C.KGm.Dec.Fal	King's Gambit Declined, Falkbeer	review	review
C.Sco.Pot	Scotch, Potter Variation	review	review
C.Sco.Gor.Dbl	Scotch Göring, Double Pawn Sacrifice	review	review
C.Vie.Gbt.Fal	Vienna Gambit, Falkbeer Defence	review	review
C.Vie.Gbt.Hmp	Vienna Gambit, Hamppe-Muzio	review	review
C.Vie.Cls	Vienna, Classical	review	review
C.Fou.Sco.Bel	Four Knights Scotch, Belgrade Gambit	review	review
C.Fou.Spa.Dbl	Four Knights Spanish, Double Spanish	review	review
C.Fou.Spa.Cls	Four Knights Spanish, Classical	review	review
D.QGD.Jan	QGD, Janowski	review	review
A.Kad	Kádas Opening	review	review
A.War	Ware Opening	review	review
A.VtK	Van't Kruijs Opening	review	review
A.Mie	Mieses Opening	review	review
A.And	Anderssen's Opening	person	attributed_to
A.Clm	Clemenz Opening	review	review
A.Ama	Amar Opening	review	review
A.Sod	Sodium Attack	review	review
A.Eng.Org	English Orangutan	review	review
A.Owe.Eng	English Defence	review	review
A.Mik	Mikėnas Defence	review	review
A.Hor	Horwitz Defence	review	review
A.Kan	Kangaroo Defence	review	review
A.Egl	Englund Gambit	review	review
A.Egl.Dec	Englund Gambit, Declined	descriptor	editorial_leaf_token
D.QPG	Queen's Pawn Game	review	review
D.QPG.Ama	Amazon Attack	review	review
D.QPG.Lev	Levitsky Attack	review	review
D.Bgm.Acc	Blackmar-Diemer Gambit, Accepted	descriptor	editorial_leaf_token
D.Bgm.Dec	Blackmar-Diemer Gambit, Declined	descriptor	editorial_leaf_token
D.Rub	Rubinstein Opening	review	review
D.Chi.Jan	Chigorin Defence, Janowski	review	review
C.Thr	Three Knights Opening	review	review
C.Thr.Stn	Three Knights, Steinitz	review	review
C.Ele	Elephant Gambit	review	review
C.Dam	Damiano Defence	person	attributed_to
C.Cen.Dsh.Acc	Danish Gambit, Accepted	descriptor	editorial_leaf_token
C.LtO.Acc	Latvian Gambit, Accepted	descriptor	editorial_leaf_token
C.KPO	King's Pawn Game	review	review
C.KPO.Nap	Napoleon Opening	review	review
C.KPO.Prt	Portuguese Opening	review	review
C.KPO.Kgt	King's Knight Opening	review	review
B.Brg	Borg Defence	review	review
B.StG	St. George Defence	review	review
B.Lio	Lion Defence	review	review
B.Rat	Rat Defence	review	review
B.Car	Carr Defence	review	review
B.Gld	Goldsmith Defence	review	review
B.Hip	Hippopotamus Defence	review	review
B.War	Ware Defence	review	review
B.OwM.Eng	Owen's Modern, English Defence Setup	review	review
E.Blf	Blumenfeld Countergambit	review	review
E.Blf.Acc	Blumenfeld Countergambit, Accepted	descriptor	editorial_leaf_token
E.Gru.Neo	Neo-Grünfeld Defence	review	review
E.Ben.Bnk.Acc	Benko Gambit, Accepted	descriptor	editorial_leaf_token
E.Ben.Bnk.Dec	Benko Gambit, Declined	descriptor	editorial_leaf_token
E.Gru.Brn.Nad	Grünfeld Brinckmann, Nadanian	review	review
D.QGA.Old	QGA, Old Variation	review	review
D.QGA.Ale	QGA, Alekhine System	review	review
D.QGA.Flo	QGA, Flohr Variation	review	review
D.QGA.Bog	QGA, Bogoljubow Defence	review	review
D.Sla.Sch	Slav, Schlechter Variation	review	review
D.Sla.Qui	Slav, Quiet Variation	review	review
D.Sla.Cze	Slav, Czech Variation	review	review
D.Sla.Stn	Slav, Steiner Variation	review	review
D.Sem.Not	Semi-Slav, Noteboom	review	review
D.Sem.Mer.Rab	Semi-Slav Meran, Rabinovich	review	review
D.Sem.Mer.Lun	Semi-Slav Meran, Lundin	review	review
D.Sem.Bg5.Mos.Qxf6	Semi-Slav Moscow, Qxf6 Line	review	review
D.QGD.Ort.Rub	QGD Orthodox, Rubinstein Attack	review	review
D.QGD.Ort.Cap	QGD Orthodox, Capablanca System	review	review
D.QGD.Exc.Car	QGD Exchange, Carlsbad	review	review
D.QGD.Exc.Min	QGD Exchange, Minority Attack	review	review
D.Cat.Ope.Yug	Catalan Open, Yugoslav Variation	review	review
D.Cat.Ope.Bb4	Catalan Open, Bb4+ Line	review	review
D.Cat.Cls.Kor	Catalan Closed, Korchnoi System	review	review
D.Tar.HSc	Tarrasch, Hennig-Schara Gambit	review	review
D.STa.Kmo	Semi-Tarrasch, Kmoch Variation	review	review
E.KID.Cls.Bol	KID Classical, Boleslavsky Variation	review	review
E.KID.Cls.Ort	KID Classical, Orthodox Line	review	review
E.KID.Cls.Arb	KID Classical, Aronin-Taimanov	review	review
E.KID.Sml.Bob	KID Sämisch, Bobotsov-Korchnoi	review	review
E.KID.Sml.Krs	KID Sämisch, Keres Attack	review	review
E.KID.Fch.Sim	KID Fianchetto, Simagin System	review	review
E.KID.Fch.Kav	KID Fianchetto, Kavalek System	review	review
E.KID.Avk.Fle	KID Averbakh, Flexible Defence	review	review
E.Nim.Rub.Flo	Nimzo Rubinstein, Flohr Variation	review	review
E.Nim.Rub.Res	Nimzo Rubinstein, Reshevsky Variation	review	review
E.Nim.Rub.Kmo	Nimzo Rubinstein, f3 Move Order	review	review
E.Nim.Cls.Noa	Nimzo Classical, Noa Variation	review	review
E.Nim.Cls.Bot	Nimzo Classical, Botvinnik Variation	review	review
E.Nim.Cls.Mil	Nimzo Classical, Milner-Barry Variation	review	review
E.Nim.Sml.Kmo	Nimzo Sämisch, a3 Move Order	review	review
E.QID.Pet.Kas	QID Petrosian, Kasparov Variation	review	review
E.QID.Mod.Fch	QID Modern, Fianchetto Line	review	review
E.QID.Euw	QID, Euwe Variation	review	review
E.Bog.Rom	Bogo-Indian, Romanishin Variation	review	review
E.Bog.Ret.Fch	Bogo-Indian Retreat, Fianchetto Line	review	review
E.OldI.Cls	Old Indian, Classical	review	review
E.OldI.Jan	Old Indian, Janowski Variation	review	review
E.Gru.Rus.Prz	Grünfeld Russian, Prins Variation	review	review
E.Gru.Rus.Szs	Grünfeld Russian, Szabo Variation	review	review
E.Gru.Exc.SeV	Grünfeld Exchange, Seville Variation	review	review
E.Gru.Exc.Mod	Grünfeld Exchange, Modern Exchange	review	review
E.Gru.Fch.Pac	Grünfeld Fianchetto, Pachman System	review	review
E.Blf.Dec	Blumenfeld Countergambit, Declined	descriptor	editorial_leaf_token
A.Pol.Cen	Polish Opening, with ...d5	review	review
A.Pol.Bhm	Polish Opening, Birmingham Gambit	review	review
A.Pol.Cze	Polish Opening, Czech Defence	review	review
A.Gro.Gbt	Grob Opening, Grob Gambit	review	review
A.Gro.Zil	Grob Opening, Zilbermints Gambit	review	review
A.Hng.Cat	Hungarian Opening, Catalan Formation	review	review
A.Hng.Sic	Hungarian Opening, Sicilian Invitation	review	review
A.Van.ReN	Van Geet Opening, Reversed Nimzowitsch	review	review
A.Van.ReS	Van Geet Opening, Reversed Scandinavian	review	review
A.Van.Tub	Van Geet Opening, Tübingen Gambit	review	review
A.Bir.Dut	Bird Opening, Dutch Variation	review	review
A.Bir.Fro.Lsk	From's Gambit, Lasker Variation	review	review
D.QPG.Lon	Queen's Pawn Game, Accelerated London	review	review
D.QPG.Chi	Queen's Pawn Game, Chigorin Variation	review	review
D.QPG.Mas	Queen's Pawn Game, Mason Attack	review	review
D.QPG.Sto	Queen's Pawn Game, Stonewall Attack	review	review
D.QPG.Zuk	Queen's Pawn Game, Zukertort Variation	review	review
D.QPG.Tor	Queen's Pawn Game, Torre Attack	review	review
D.Bgm.Acc.Bog	Blackmar-Diemer Accepted, Bogoljubow Defence	review	review
D.Bgm.Acc.Euw	Blackmar-Diemer Accepted, Euwe Defence	review	review
D.Bgm.Acc.Tei	Blackmar-Diemer Accepted, Teichmann Defence	review	review
D.Chi.Exc	Chigorin Defence, Exchange Variation	review	review
D.Chi.Laz	Chigorin Defence, Lazard Gambit	review	review
D.Chi.MLn	Chigorin Defence, Main Line	descriptor	editorial_leaf_token
D.Sla.Dim	Slav, Diemer Gambit	review	review
D.Sla.Win	Slav, Winawer Countergambit	review	review
D.Sla.Exc.Boo	Slav Exchange, Boor Attack	review	review
D.Sla.Che.Adv	Slav Chebanenko, Advance System	review	review
D.Sla.Cls.Bld	Slav Classical, Bled Attack	review	review
D.Tar.Mar	Tarrasch, Marshall Gambit	review	review
D.Tar.Prg	Tarrasch, Prague Variation	review	review
D.Tar.Cls	Tarrasch, Classical Variation	review	review
D.STa.Pil	Semi-Tarrasch, Pillsbury Variation	review	review
