ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
B.Sic.Old.Nc3.Bc4.Nf6	Anti-Sveshnikov, Nf6 Line	renamed	Sicilian Defense: Closed, Anti-Sveshnikov Variation	Sicilian Defense: Closed, Anti-Sveshnikov Variation with .. Nf6	2023-10-28	Jon Dart	92faa4749	add unique descriptor for anti-Sveshnikov lines	https://github.com/lichess-org/chess-openings/commit/92faa4749	attested
B.Sic.Old.Nc3.Bc4.d6	Anti-Sveshnikov, d6 Line	renamed	Sicilian Defense: Closed, Anti-Sveshnikov Variation	Sicilian Defense: Closed, Anti-Sveshnikov Variation with .. d6	2023-10-28	Jon Dart	92faa4749	add unique descriptor for anti-Sveshnikov lines	https://github.com/lichess-org/chess-openings/commit/92faa4749	attested
C.Ita.Giu.Eis	Italian Giuoco Piano, Eisinger Variation	renamed	Italian Game: Giuoco Piano, Eisinger Variation	Italian Game: Classical Variation, Eisinger Variation	2023-11-18	Jon Dart	893f138a4	fix classification for Giuoco Piano/Two Knights (C53-C56), add some positions	https://github.com/lichess-org/chess-openings/commit/893f138a4	attested
C.Ita.Giu.Grc.Ghu	Italian, Classical Variation, Ghulam-Kassim Variation	renamed	Italian Game: Giuoco Piano, Ghulam-Kassim Variation	Italian Game: Classical Variation, Ghulam-Kassim Variation	2023-11-18	Jon Dart	893f138a4	fix classification for Giuoco Piano/Two Knights (C53-C56), add some positions	https://github.com/lichess-org/chess-openings/commit/893f138a4	attested
C.Ita.Giu.Mes	Italian Giuoco Piano, Mestel Variation	renamed	Italian Game: Giuoco Piano, Mestel Variation	Italian Game: Classical Variation, Mestel Variation	2023-11-18	Jon Dart	893f138a4	fix classification for Giuoco Piano/Two Knights (C53-C56), add some positions	https://github.com/lichess-org/chess-openings/commit/893f138a4	attested
C.Ita.Two.O-O.Bc5.Bg5	Italian Two Knights Castled, Bg5 Line	renamed	Italian Game: Giuoco Piano	Italian Game: Two Knights Defense	2023-11-18	Jon Dart	893f138a4	fix classification for Giuoco Piano/Two Knights (C53-C56), add some positions	https://github.com/lichess-org/chess-openings/commit/893f138a4	attested
D.QPG.Chi.e6.Bf4	Queen's Pawn Chigorin, Rapport-Jobava	renamed	Rapport-Jobava System	Rapport-Jobava System, with e6	2023-12-17	Niklas Fiekas	f34713b71	ensure Rapport-Jobava System has a unique shortest line	https://github.com/lichess-org/chess-openings/commit/f34713b71	attested
A.Ama.Par.Gen	Amar Paris Gambit, Gent Gambit	renamed	Amar Opening: Gent Gambit	Amar Opening: Paris Gambit, Gent Gambit	2024-02-09	Malorra	b326e0b63	Gent Gambit as a variation of the Paris Gambit	https://github.com/lichess-org/chess-openings/commit/b326e0b63	attested
C.Pet	Petrov Defence	renamed	Russian Game	Petrov's Defense	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Bc4	Petrov Defence, Italian Variation	renamed	Russian Game: Italian Variation	Petrov's Defense: Italian Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
