ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
B.Sic.Sve.Bxf6.Nd5	Topalov, Veselin	2813	Carlsen, Magnus	2772	2009	1/2-1/2	9kn1jmvK	https://lichess.org/9kn1jmvK
B.Sic.Sve.Bxf6.Nd5	Kasparov, Garry	2851	Leko, Peter	2725	2000	1/2-1/2	2IEAzaFV	https://lichess.org/2IEAzaFV
B.Sic.Sve.Bxf6.Nd5.Bg7	Topalov, V.	2740	Carlsen, M.	2861	2019	0-1	sMqdaIN7	https://lichess.org/sMqdaIN7
B.Sic.Sve.Bxf6.Nd5.Bg7	Anand, Viswanathan	2774	Kasparov, Garry	2817	2004	1/2-1/2	3IjC40lK	https://lichess.org/3IjC40lK
B.Sic.Sve.Bxf6.Nd5.Bg7	Topalov, Veselin	2813	Carlsen, Magnus	2772	2009	1/2-1/2	9kn1jmvK	https://lichess.org/9kn1jmvK
B.Sic.Sve.Bxf6.Nd5.Bg7	Xiong, Jeffery	2709	Carlsen, Magnus	2863	2020	1/2-1/2	bz1M1qWk	https://lichess.org/bz1M1qWk
B.Sic.Sve.Bxf6.Nd5.f5	Kasparov, Garry	2851	Leko, Peter	2725	2000	1/2-1/2	2IEAzaFV	https://lichess.org/2IEAzaFV
B.Sic.Sve.Bxf6.Nd5.f5	Anand, Viswanathan	2770	Kramnik, Vladimir	2790	1998	1/2-1/2	CAg5Wck8	https://lichess.org/CAg5Wck8
B.Sic.Sve.Bxf6.Nd5.f5	Anand, Viswanathan	2774	Kramnik, Vladimir	2785	2003	1/2-1/2	bPWuogVp	https://lichess.org/bPWuogVp
B.Sic.Sve.Bxf6.Nd5.f5	Shirov, Alexei	2715	Kasparov, Garry	2838	2002	0-1	DNarGjM9	https://lichess.org/DNarGjM9
B.Sic.Dra	Karjakin, Sergey	2771	Carlsen, M.	2881	2014	1/2-1/2	rZjU3wqD	https://lichess.org/rZjU3wqD
B.Sic.Dra	Grischuk, Alexander	2777	Carlsen, Magnus	2863	2020	1-0	RjbXhrby	https://lichess.org/RjbXhrby
B.Sic.Dra	Anand, Viswanathan	2800	Carlsen, Magnus	2826	2010	1/2-1/2	nJ6sMTpL	https://lichess.org/nJ6sMTpL
B.Sic.Dra	Dominguez Perez, L..	2758	Carlsen, M..	2862	2021	0-1	6EIDOa5F	https://lichess.org/6EIDOa5F
B.Sic.Dra.Yug	Karjakin, Sergey	2771	Carlsen, M.	2881	2014	1/2-1/2	rZjU3wqD	https://lichess.org/rZjU3wqD
B.Sic.Dra.Yug	Anand, Viswanathan	2800	Carlsen, Magnus	2826	2010	1/2-1/2	nJ6sMTpL	https://lichess.org/nJ6sMTpL
B.Sic.Dra.Yug	Anand, Viswanathan	2790	Carlsen, Magnus	2810	2010	1/2-1/2	JcW0nyTk	https://lichess.org/JcW0nyTk
B.Sic.Dra.Yug	Anand, Viswanathan	2798	Carlsen, Magnus	2775	2008	1-0	cvKvhZx8	https://lichess.org/cvKvhZx8
B.Sic.Sch	Nakamura, Hikaru	2736	Carlsen, Magnus	2863	2020	1-0	d2OPYH9G	https://lichess.org/d2OPYH9G
